t,x,y,v
0.0,0.0920844,-0.0683945,4.2
0.06,0.344059,-0.0648574,4.2
0.1201,0.596051,-0.0628771,4.2
0.1799,0.84805,-0.0625048,4.2
0.2399,1.10005,-0.0624903,4.2
0.3,1.35205,-0.0612092,4.2
0.36,1.60404,-0.0596974,4.2
0.42,1.85604,-0.058657,4.2
0.48,2.10804,-0.0580985,4.2
0.54,2.36003,-0.0562434,4.2
0.6,2.61201,-0.0527872,4.2
0.66,2.86398,-0.0491805,4.2
0.72,3.11595,-0.0455361,4.2
0.7799,3.3679,-0.040316,4.2
0.8401,3.61979,-0.0329214,4.2
0.8999,3.87166,-0.0247226,4.2
0.96,4.12348,-0.0153603,4.2
1.02,4.37522,-0.00378816,4.2
1.0801,4.62681,0.0105267,4.2
1.14,4.8782,0.0280238,4.2
1.2,5.1293,0.0492499,4.2
1.2599,5.37982,0.0764636,4.2
1.32,5.62953,0.110268,4.2
1.38,5.87811,0.151597,4.2
1.4485,6.15517,0.208431,2.0
1.5284,6.41608,0.283178,2.0
1.6286,6.65125,0.380135,2.0
1.7599,6.87303,0.512668,2.45
1.88,7.04923,0.699189,2.62765
1.9887,7.17236,0.946147,4.06978
2.08,7.22919,1.20109,2.45
2.18,7.20215,1.45655,2.45
2.2886,7.07357,1.69354,2.45
2.4005,6.87602,1.87601,2.45
2.5085,6.65208,2.01698,2.45
2.62,6.41461,2.13009,2.45
2.7285,6.1636,2.21716,2.45
2.8401,5.9041,2.28378,2.84783
2.94,5.63736,2.3327,4.2
3.0199,5.38241,2.36387,4.2
3.1,5.10028,2.37518,4.2
3.1685,4.83892,2.36705,4.2
3.2401,4.56913,2.34301,4.2
3.3085,4.29527,2.29804,4.2
3.38,4.01923,2.23888,4.2
3.4487,3.74136,2.17245,4.2
3.52,3.46246,2.10027,4.2
3.5884,3.18272,2.02456,4.2
3.66,2.90314,1.94381,4.2
3.7199,2.66372,1.87135,4.2
3.7885,2.40241,1.79137,2.52118
3.8686,2.152,1.7409,2.45
3.9684,1.87615,1.77651,3.91169
4.0485,1.64916,1.88197,4.2
4.1285,1.42617,2.04778,4.2
4.2,1.23831,2.22599,4.2
4.2685,1.04566,2.41385,4.2
4.3399,0.832224,2.5891,4.2
4.4087,0.601235,2.74979,4.2
4.48,0.367852,2.91338,4.2
4.5485,0.146954,3.09746,4.2
4.62,-0.0641842,3.29548,4.2
4.6885,-0.27548,3.49525,4.2
4.7601,-0.489268,3.69372,4.2
4.82,-0.672787,3.86433,4.2
4.88,-0.856221,4.03556,4.2
4.94,-1.04103,4.2057,4.2
5.0,-1.22837,4.37336,4.2
5.06,-1.41784,4.53883,4.2
5.12,-1.6085,4.7031,4.2
5.18,-1.79924,4.86741,4.2
5.2484,-2.02314,5.04139,2.36687
5.3284,-2.26512,5.16099,1.75
