t,x,y,v
5.4399,-2.53381,5.15745,1.75
5.58,-2.72374,4.98965,1.75
5.7285,-2.83454,4.75235,1.75
5.88,-2.87733,4.49364,1.75
6.0284,-2.85216,4.23331,1.75
6.18,-2.79036,3.97855,1.75
6.3285,-2.65729,3.75327,1.75
6.48,-2.46488,3.57646,1.75
6.6284,-2.23827,3.44421,1.75
6.78,-2.01016,3.31479,1.75
6.9284,-1.83133,3.12485,1.75
7.08,-1.72847,2.88468,1.75
7.2285,-1.71029,2.62404,1.75
7.3801,-1.77876,2.37189,1.75
7.5285,-1.92626,2.15624,1.75
7.6799,-2.13644,2.00102,1.75
7.8285,-2.38594,1.92347,1.75
7.9799,-2.64798,1.92237,1.75
8.1285,-2.91038,1.92856,1.75
8.28,-3.1724,1.94292,1.75
8.4285,-3.42713,2.00436,1.75
8.58,-3.66977,2.1042,1.75
8.7285,-3.90438,2.22192,1.75
8.8799,-4.13403,2.34874,1.75
9.0285,-4.32204,2.53019,1.75
9.1801,-4.45489,2.76079,2.29247
9.3086,-4.55974,3.00965,3.7782
9.4085,-4.65222,3.27197,4.2
9.4885,-4.72895,3.52355,4.2
9.5685,-4.80462,3.79996,4.2
9.64,-4.87023,4.05572,4.2
9.7084,-4.93493,4.32063,4.2
9.7799,-4.9983,4.59004,2.0
9.8601,-5.06069,4.85719,2.0
9.96,-5.11315,5.11056,2.0
10.0884,-5.16073,5.36651,1.5
10.2289,-5.22676,5.61221,2.45
10.3486,-5.35667,5.82777,2.45
10.4686,-5.55936,6.00593,2.45
10.5801,-5.79362,6.11036,2.45
10.6885,-6.05326,6.14116,2.45
10.7999,-6.31219,6.0886,2.45
10.9085,-6.5419,5.9547,2.45
11.0199,-6.7163,5.75271,2.45
11.1199,-6.81467,5.51815,3.98768
11.2085,-6.85642,5.24912,4.2
11.2887,-6.86183,4.97504,4.2
11.36,-6.85984,4.71851,4.2
11.4284,-6.85983,4.45115,4.2
11.5,-6.85776,4.1761,4.2
11.5685,-6.84823,3.89575,4.2
11.64,-6.83,3.61192,4.2
11.7086,-6.80567,3.32576,4.2
11.78,-6.77594,3.03814,4.2
11.8484,-6.73781,2.75011,4.2
11.92,-6.69034,2.46246,4.2
11.9801,-6.64299,2.21651,4.2
12.04,-6.58985,1.97135,4.2
12.1,-6.52951,1.72757,4.2
12.16,-6.46012,1.48599,4.2
12.22,-6.37886,1.24798,4.2
12.2801,-6.28355,1.01514,4.2
12.34,-6.16953,0.790824,4.2
12.3999,-6.03003,0.581434,4.2
12.46,-5.86113,0.394982,4.2
12.52,-5.66329,0.239524,4.2
12.5801,-5.44345,0.116969,4.2
12.6399,-5.20989,0.0228073,4.2
12.7,-4.96942,-0.0522512,4.2
12.76,-4.72505,-0.113559,4.2
12.8199,-4.47799,-0.162949,4.2
12.88,-4.22866,-0.199123,4.2
12.94,-3.97749,-0.218671,4.2
12.9999,-3.72555,-0.219924,4.2
13.06,-3.47383,-0.208381,4.2
13.12,-3.2223,-0.193127,4.2
13.1801,-2.97065,-0.180074,4.2
13.24,-2.7189,-0.168763,4.2
13.3,-2.46719,-0.156735,4.2
13.36,-2.21551,-0.144139,4.2
13.42,-1.96377,-0.132714,4.2
13.48,-1.71195,-0.12329,4.2
13.5399,-1.46009,-0.114967,4.2
13.6,-1.2082,-0.107437,4.2
13.6601,-0.956303,-0.100296,4.2
13.72,-0.704399,-0.0933215,4.2
13.78,-0.452494,-0.0864133,4.2
13.84,-0.200589,-0.0795304,4.2
13.9,0.0920844,-0.0683945,4.2
