t,x,y,v
0.0,0.199002,-0.228546,4.2
0.06,0.450196,-0.208473,4.2
0.12,0.701271,-0.18693,4.2
0.18,0.952754,-0.170934,4.2
0.24,1.20455,-0.160825,4.2
0.2999,1.45641,-0.152446,4.2
0.3599,1.70824,-0.143093,4.2
0.42,1.96002,-0.132607,4.2
0.48,2.21183,-0.122951,4.2
0.5401,2.46372,-0.115301,4.2
0.6,2.71563,-0.10881,4.2
0.6599,2.96754,-0.102236,4.2
0.72,3.21941,-0.0940004,4.2
0.78,3.47125,-0.0849398,4.2
0.8399,3.72306,-0.0752289,4.2
0.9007,3.97486,-0.0651906,4.2
0.96,4.22665,-0.0549848,4.2
1.02,4.47836,-0.0429406,4.2
1.08,4.73,-0.029339,4.2
1.14,4.98157,-0.0147345,4.2
1.2001,5.233,0.00226297,4.2
1.26,5.4841,0.023471,4.2
1.3201,5.73448,0.0518463,4.2
1.3801,5.9825,0.0873756,3.71246
1.4485,6.23894,0.134208,2.71043
1.54,6.4948,0.208521,2.02158
1.6601,6.72342,0.340494,2.0913
1.7799,6.9078,0.512038,2.33453
1.9,7.05765,0.730951,2.77323
2.0085,7.16073,0.984675,3.20507
2.1084,7.21775,1.25438,2.85594
2.2086,7.19999,1.52267,2.48644
2.32,7.08492,1.77112,2.45
2.4286,6.89271,1.959,2.45
2.54,6.65348,2.08198,2.45
2.6487,6.40025,2.17414,2.45
2.76,6.14154,2.25045,2.54012
2.8601,5.89682,2.30262,2.93621
2.96,5.62935,2.34613,3.61347
3.0485,5.35465,2.38151,4.11994
3.1286,5.08142,2.40721,4.2
3.2001,4.82511,2.42007,4.2
3.2686,4.55772,2.41852,4.2
3.3399,4.28333,2.39921,4.2
3.4085,4.0052,2.36255,4.2
3.48,3.72562,2.31028,4.2
3.5488,3.44598,2.24487,4.2
3.62,3.16676,2.16968,4.2
3.6885,2.88774,2.08857,4.2
3.7599,2.60976,2.00342,3.98474
3.8284,2.34938,1.9201,3.22658
3.9084,2.09604,1.84981,2.88482
4.0,1.82532,1.83113,3.51143
4.08,1.57478,1.88073,4.02859
4.16,1.32081,1.99188,4.18138
4.2286,1.10578,2.13442,4.2
4.3,0.903864,2.31132,4.2
4.3685,0.709324,2.50697,4.2
4.44,0.509882,2.70152,4.2
4.5085,0.306639,2.87466,2.0
4.5885,0.0822216,3.04673,4.2
4.6685,-0.126267,3.21997,2.0
4.7599,-0.308903,3.42952,3.18695
4.8486,-0.455276,3.64056,2.80105
4.94,-0.597155,3.85307,4.2
5.0202,-0.748203,4.06704,4.2
5.1,-0.933755,4.28423,4.2
5.1686,-1.12865,4.4615,4.2
