t,x,y,v
5.24,-1.34369,4.62865,4.2
5.3088,-1.56455,4.7985,4.2
5.38,-1.78375,4.97719,3.89279
5.4485,-1.99031,5.14039,2.87027
5.54,-2.22491,5.27509,2.02825
5.66,-2.47989,5.2994,1.78865
5.8,-2.71126,5.19968,1.75
5.9487,-2.90124,5.01943,1.75
6.1,-3.02167,4.7875,1.75
6.2485,-3.06024,4.52905,1.75
6.4001,-3.01282,4.27209,1.75
6.5486,-2.88701,4.04274,1.75
6.7,-2.70944,3.85006,1.75
6.8485,-2.4998,3.69237,1.75
7.0,-2.28127,3.54697,1.75
7.1486,-2.0864,3.37182,1.75
7.3001,-1.9434,3.15289,1.75
7.4485,-1.87539,2.90052,1.75
7.6,-1.89187,2.63971,1.75
7.7485,-1.99108,2.39793,1.75
7.9,-2.16401,2.20208,1.75
8.0484,-2.39172,2.07398,1.75
8.2,-2.64889,2.0278,1.75
8.3484,-2.91008,2.05109,1.75
8.5,-3.16797,2.09928,1.75
8.6484,-3.41807,2.17853,1.75
8.8,-3.65894,2.28267,2.0
8.96,-3.89259,2.3859,2.0
9.12,-4.13448,2.49219,1.79755
9.2685,-4.34555,2.64686,1.98038
9.4086,-4.49366,2.86523,2.78998
9.5285,-4.58652,3.12447,3.60718
9.6201,-4.65883,3.36662,4.06679
9.7,-4.73574,3.61359,4.2
9.78,-4.81888,3.88465,4.2
9.8484,-4.88992,4.13702,4.19381
9.92,-4.95782,4.39892,3.76816
9.9885,-5.01895,4.64702,2.83191
10.08,-5.0782,4.90352,2.0
10.2,-5.13468,5.15983,2.0
10.3285,-5.19016,5.41527,1.5
10.48,-5.26692,5.66,2.22658
10.6086,-5.41202,5.86676,2.45
10.7285,-5.61546,6.02892,2.45
10.8401,-5.84865,6.1229,2.45
10.9487,-6.10613,6.14515,2.45
11.06,-6.36219,6.0872,2.45
11.1685,-6.5896,5.95127,2.47136
11.28,-6.76555,5.74834,2.7194
11.38,-6.87271,5.51279,3.5432
11.4686,-6.93517,5.25393,4.05036
11.5485,-6.966,4.98887,4.18598
11.62,-6.97333,4.73714,4.2
11.6887,-6.96699,4.47318,4.2
11.76,-6.95625,4.20068,4.2
11.8285,-6.94641,3.92199,4.2
11.9,-6.93577,3.63896,4.2
11.9685,-6.91834,3.35316,4.2
12.0401,-6.89147,3.06587,4.2
12.1084,-6.85699,2.7778,4.2
12.18,-6.81792,2.48919,4.2
12.2399,-6.77971,2.24184,4.2
12.3001,-6.73465,1.99521,4.2
12.36,-6.68211,1.74974,4.2
12.4199,-6.6231,1.50549,4.2
12.48,-6.55774,1.26267,4.2
12.5402,-6.48312,1.02241,4.2
12.6001,-6.39646,0.786134,4.2
12.66,-6.29439,0.556034,4.2
12.72,-6.17535,0.334182,4.2
12.78,-6.03721,0.123685,4.2
12.84,-5.87676,-0.0703102,4.2
12.9,-5.69287,-0.242233,4.2
12.9599,-5.48653,-0.386383,4.2
13.02,-5.25954,-0.49496,4.2
13.0801,-5.01524,-0.554397,4.2
13.14,-4.76373,-0.559843,4.2
13.2,-4.5146,-0.523244,4.2
13.26,-4.26925,-0.465879,4.2
13.32,-4.0227,-0.414117,4.2
13.38,-3.77244,-0.385404,4.2
13.44,-3.52065,-0.375942,4.2
13.5003,-3.26875,-0.369524,4.2
13.5601,-3.01769,-0.348458,4.2
13.62,-2.76837,-0.31194,4.2
13.68,-2.5194,-0.273089,4.2
13.74,-2.26844,-0.251108,4.2
13.8,-2.0165,-0.248826,4.2
13.8602,-1.76456,-0.254482,4.2
13.92,-1.51258,-0.253539,4.2
13.98,-1.26069,-0.246189,4.2
14.04,-1.00879,-0.239136,4.2
14.1001,-0.756809,-0.236215,4.2
14.1599,-0.504809,-0.235759,4.2
14.22,-0.252814,-0.234529,4.2
14.28,0.199002,-0.228546,4.2
