t,x,y,v
5.43983,-2.49841,5.21365,1.75
5.57983,-2.72801,5.10753,1.75
5.73143,-2.90421,4.91392,1.75
5.87983,-3.00616,4.67333,1.75
6.03153,-3.02338,4.41262,1.75
6.17993,-2.95879,4.15895,1.75
6.33143,-2.84597,3.92255,1.75
6.47993,-2.68016,3.72008,1.75
6.63153,-2.47087,3.5625,1.75
6.77983,-2.24071,3.43632,1.75
6.93153,-2.02475,3.28828,1.75
7.07983,-1.86493,3.08175,1.75
7.23153,-1.78186,2.83398,1.75
7.37993,-1.78274,2.57265,1.75
7.53143,-1.8674,2.3254,1.75
7.67993,-2.02688,2.11837,1.75
7.83153,-2.24434,1.97344,1.75
7.97983,-2.4968,1.9059,1.75
8.13153,-2.7589,1.91145,1.75
8.27973,-3.02056,1.93224,1.75
8.43153,-3.278,1.98175,1.75
8.57973,-3.52458,2.07132,1.75
8.73153,-3.76233,2.1825,1.75
8.88003,-3.99283,2.30788,1.75
9.03153,-4.19688,2.47189,1.75
9.17983,-4.34382,2.69,1.97373
9.31993,-4.45847,2.93538,3.08601
9.43143,-4.55861,3.18849,3.96729
9.51993,-4.6496,3.44824,4.2
9.59983,-4.73084,3.71156,4.2
9.67153,-4.80094,3.95919,4.2
9.73983,-4.87048,4.21795,4.2
9.81153,-4.93824,4.48201,3.30229
9.89153,-5.00315,4.74458,2.0
9.99153,-5.06228,4.99218,2.0
10.12013,-5.11692,5.2531,1.79891
10.27153,-5.18762,5.50205,2.04133
10.41143,-5.30971,5.72985,2.45
10.53143,-5.48517,5.91391,2.45
10.65143,-5.7211,6.04772,2.45
10.76003,-5.97259,6.10165,2.45
10.87133,-6.23309,6.07565,2.45
10.97993,-6.47481,5.96833,2.45
11.09133,-6.67096,5.78858,2.45
11.19993,-6.80262,5.54888,3.71018
11.29153,-6.86446,5.29451,4.14724
11.37143,-6.88443,5.02908,4.2
11.43983,-6.88405,4.77735,4.2
11.51143,-6.87946,4.51343,4.2
11.57983,-6.87604,4.24081,4.2
11.65143,-6.87144,3.96204,4.2
11.71993,-6.85973,3.67909,4.2
11.79153,-6.83892,3.39354,4.2
11.85993,-6.81126,3.10633,4.2
11.93153,-6.77831,2.8181,4.2
11.99983,-6.73744,2.52975,4.2
12.05983,-6.69468,2.28316,4.2
12.11983,-6.64568,2.03729,4.2
12.17973,-6.59074,1.79234,4.2
12.23983,-6.52837,1.54893,4.2
12.29993,-6.45614,1.30809,4.2
12.36003,-6.37173,1.0711,4.2
12.41973,-6.27213,0.840004,4.2
12.48003,-6.15378,0.617872,4.2
12.53983,-6.01257,0.409539,4.2
12.59993,-5.84427,0.222462,4.2
12.65993,-5.64905,0.0636736,4.2
12.71993,-5.4319,-0.063637,4.2
12.77993,-5.20029,-0.162476,4.2
12.84003,-4.96035,-0.239152,4.2
12.89983,-4.71581,-0.299756,4.2
12.96003,-4.46825,-0.346575,4.2
13.01973,-4.2185,-0.379797,4.2
13.07993,-3.96723,-0.398163,4.2
13.13993,-3.71529,-0.400602,4.2
13.20013,-3.46366,-0.387636,4.2
13.25983,-3.21271,-0.364815,4.2
13.31993,-2.96192,-0.340148,4.2
13.37983,-2.71093,-0.317715,4.2
13.43993,-2.45983,-0.296437,4.2
13.50003,-2.20883,-0.274005,4.2
13.55993,-1.95789,-0.250985,4.2
13.61983,-1.70679,-0.229669,4.2
13.67983,-1.45545,-0.211529,4.2
13.73993,-1.20393,-0.195907,4.2
13.79993,-0.952327,-0.181862,4.2
13.85983,-0.700672,-0.168684,4.2
13.91983,-0.448997,-0.155894,4.2
13.97993,-0.197314,-0.143264,4.2
14.04003,0.101471,-0.126158,4.2
