t,x,y,v
0.0,0.101471,-0.126158,4.2
0.05981,0.353231,-0.115178,4.2
0.11979,0.605094,-0.106947,4.2
0.17991,0.857046,-0.1021,4.2
0.23989,1.10903,-0.0990023,4.2
0.29995,1.361,-0.095286,4.2
0.35984,1.61295,-0.0905542,4.2
0.41989,1.86491,-0.086,4.2
0.47973,2.11688,-0.0822007,4.2
0.53984,2.36887,-0.0793697,4.2
0.60003,2.62084,-0.0756112,4.2
0.65979,2.87278,-0.0701907,4.2
0.71996,3.12472,-0.0644742,4.2
0.77981,3.37665,-0.0588794,4.2
0.83989,3.62856,-0.0518945,4.2
0.89983,3.88039,-0.0427393,4.2
0.95981,4.13218,-0.0325065,4.2
1.01982,4.38394,-0.0214136,4.2
1.07978,4.63559,-0.0081687,4.2
1.13985,4.88708,0.00772225,4.2
1.19988,5.13835,0.0268914,4.2
1.25992,5.38913,0.0515942,4.2
1.31982,5.63912,0.0832703,4.2
1.38018,5.888,0.122763,4.2
1.45145,6.15944,0.174624,2.12899
1.53147,6.41015,0.242336,2.0
1.63989,6.65277,0.347839,2.0
1.75978,6.86151,0.485584,2.36429
1.87992,7.03963,0.681717,2.58937
1.99155,7.15932,0.923215,3.90966
2.07974,7.2245,1.17423,2.70632
2.17976,7.21629,1.4392,2.45
2.29144,7.10396,1.68532,2.45
2.39991,6.91405,1.87524,2.45
2.51151,6.68377,2.01471,2.45
2.61984,6.43923,2.12775,2.45
2.73153,6.18454,2.21544,2.45
2.83975,5.92048,2.2812,2.78207
2.9398,5.65827,2.32857,3.87606
3.03143,5.3799,2.36519,4.2
3.11153,5.10169,2.38474,4.2
3.18013,4.84233,2.38542,4.2
3.25153,4.57352,2.3683,4.2
3.31993,4.29924,2.33359,4.2
3.39143,4.02239,2.28245,4.2
3.46003,3.74447,2.21864,4.2
3.53153,3.46578,2.14719,4.2
3.59983,3.18625,2.07176,4.2
3.67143,2.90667,1.99168,4.2
3.73143,2.66743,1.91907,4.2
3.79983,2.39838,1.83568,2.93719
3.87993,2.13818,1.77212,2.45629
3.97143,1.87969,1.77579,3.64792
4.05143,1.63991,1.85102,4.14243
4.13143,1.40124,1.99178,4.2
4.19993,1.2044,2.15919,4.2
4.27143,1.01571,2.35065,4.2
4.33973,0.818616,2.54391,4.2
4.41143,0.600099,2.72083,4.2
4.47983,0.367118,2.88487,4.2
4.55143,0.136317,3.0563,4.2
4.61993,-0.0806762,3.24769,4.2
4.69143,-0.287843,3.45168,4.2
4.75983,-0.497319,3.65465,4.2
4.81973,-0.680538,3.82556,4.2
4.87993,-0.86408,3.99666,4.2
4.93993,-1.04686,4.16897,4.2
4.99983,-1.23024,4.34093,4.2
5.06003,-1.41621,4.51032,4.2
5.11983,-1.60508,4.67665,4.2
5.17983,-1.7955,4.84132,4.2
5.25153,-2.0125,5.02051,2.63061
5.33153,-2.23744,5.1641,1.88761
