x,y,v
0.0920844,-0.0683945,4.2
0.344059,-0.0648574,4.2
0.596051,-0.0628771,4.2
0.84805,-0.0625048,4.2
1.10005,-0.0624903,4.2
1.35205,-0.0612092,4.2
1.60404,-0.0596974,4.2
1.85604,-0.058657,4.2
2.10804,-0.0580985,4.2
2.36003,-0.0562434,4.2
2.61201,-0.0527872,4.2
2.86398,-0.0491805,4.2
3.11595,-0.0455361,4.2
3.3679,-0.040316,4.2
3.61979,-0.0329214,4.2
3.87166,-0.0247226,4.2
4.12348,-0.0153603,4.2
4.37522,-0.00378816,4.2
4.62681,0.0105267,4.2
4.8782,0.0280238,4.2
5.1293,0.0492499,4.2
5.37982,0.0764636,4.2
5.62953,0.110268,4.2
5.87811,0.151597,4.2
6.15517,0.208431,2
6.41608,0.283178,2
6.65125,0.380135,2
6.87303,0.512668,2.45
7.04923,0.699189,2.62765
7.17236,0.946147,4.06978
7.22919,1.20109,2.45
7.20215,1.45655,2.45
7.07357,1.69354,2.45
6.87602,1.87601,2.45
6.65208,2.01698,2.45
6.41461,2.13009,2.45
6.1636,2.21716,2.45
5.9041,2.28378,2.84783
5.63736,2.3327,4.2
5.38241,2.36387,4.2
5.10028,2.37518,4.2
4.83892,2.36705,4.2
4.56913,2.34301,4.2
4.29527,2.29804,4.2
4.01923,2.23888,4.2
3.74136,2.17245,4.2
3.46246,2.10027,4.2
3.18272,2.02456,4.2
2.90314,1.94381,4.2
2.66372,1.87135,4.2
2.40241,1.79137,2.52118
2.152,1.7409,2.45
1.87615,1.77651,3.91169
1.64916,1.88197,4.2
1.42617,2.04778,4.2
1.23831,2.22599,4.2
1.04566,2.41385,4.2
0.832224,2.5891,4.2
0.601235,2.74979,4.2
0.367852,2.91338,4.2
0.146954,3.09746,4.2
-0.0641842,3.29548,4.2
-0.27548,3.49525,4.2
-0.489268,3.69372,4.2
-0.672787,3.86433,4.2
-0.856221,4.03556,4.2
-1.04103,4.2057,4.2
-1.22837,4.37336,4.2
-1.41784,4.53883,4.2
-1.6085,4.7031,4.2
-1.79924,4.86741,4.2
-2.02314,5.04139,2.36687
-2.26512,5.16099,1.75
-2.53381,5.15745,1.75
-2.72374,4.98965,1.75
-2.83454,4.75235,1.75
-2.87733,4.49364,1.75
-2.85216,4.23331,1.75
-2.79036,3.97855,1.75
-2.65729,3.75327,1.75
-2.46488,3.57646,1.75
-2.23827,3.44421,1.75
-2.01016,3.31479,1.75
-1.83133,3.12485,1.75
-1.72847,2.88468,1.75
-1.71029,2.62404,1.75
-1.77876,2.37189,1.75
-1.92626,2.15624,1.75
-2.13644,2.00102,1.75
-2.38594,1.92347,1.75
-2.64798,1.92237,1.75
-2.91038,1.92856,1.75
-3.1724,1.94292,1.75
-3.42713,2.00436,1.75
-3.66977,2.1042,1.75
-3.90438,2.22192,1.75
-4.13403,2.34874,1.75
-4.32204,2.53019,1.75
-4.45489,2.76079,2.29247
-4.55974,3.00965,3.7782
-4.65222,3.27197,4.2
-4.72895,3.52355,4.2
-4.80462,3.79996,4.2
-4.87023,4.05572,4.2
-4.93493,4.32063,4.2
-4.9983,4.59004,2
-5.06069,4.85719,2
-5.11315,5.11056,2
-5.16073,5.36651,1.5
-5.22676,5.61221,2.45
-5.35667,5.82777,2.45
-5.55936,6.00593,2.45
-5.79362,6.11036,2.45
-6.05326,6.14116,2.45
-6.31219,6.0886,2.45
-6.5419,5.9547,2.45
-6.7163,5.75271,2.45
-6.81467,5.51815,3.98768
-6.85642,5.24912,4.2
-6.86183,4.97504,4.2
-6.85984,4.71851,4.2
-6.85983,4.45115,4.2
-6.85776,4.1761,4.2
-6.84823,3.89575,4.2
-6.83,3.61192,4.2
-6.80567,3.32576,4.2
-6.77594,3.03814,4.2
-6.73781,2.75011,4.2
-6.69034,2.46246,4.2
-6.64299,2.21651,4.2
-6.58985,1.97135,4.2
-6.52951,1.72757,4.2
-6.46012,1.48599,4.2
-6.37886,1.24798,4.2
-6.28355,1.01514,4.2
-6.16953,0.790824,4.2
-6.03003,0.581434,4.2
-5.86113,0.394982,4.2
-5.66329,0.239524,4.2
-5.44345,0.116969,4.2
-5.20989,0.0228073,4.2
-4.96942,-0.0522512,4.2
-4.72505,-0.113559,4.2
-4.47799,-0.162949,4.2
-4.22866,-0.199123,4.2
-3.97749,-0.218671,4.2
-3.72555,-0.219924,4.2
-3.47383,-0.208381,4.2
-3.2223,-0.193127,4.2
-2.97065,-0.180074,4.2
-2.7189,-0.168763,4.2
-2.46719,-0.156735,4.2
-2.21551,-0.144139,4.2
-1.96377,-0.132714,4.2
-1.71195,-0.12329,4.2
-1.46009,-0.114967,4.2
-1.2082,-0.107437,4.2
-0.956303,-0.100296,4.2
-0.704399,-0.0933215,4.2
-0.452494,-0.0864133,4.2
-0.200589,-0.0795304,4.2
0.0513182,-0.0726833,4.2
0.0920844,-0.0683945,4.2
