x,y,v
0.101471,-0.126158,4.2
0.353231,-0.115178,4.2
0.605094,-0.106947,4.2
0.857046,-0.1021,4.2
1.10903,-0.0990023,4.2
1.361,-0.095286,4.2
1.61295,-0.0905542,4.2
1.86491,-0.086,4.2
2.11688,-0.0822007,4.2
2.36887,-0.0793697,4.2
2.62084,-0.0756112,4.2
2.87278,-0.0701907,4.2
3.12472,-0.0644742,4.2
3.37665,-0.0588794,4.2
3.62856,-0.0518945,4.2
3.88039,-0.0427393,4.2
4.13218,-0.0325065,4.2
4.38394,-0.0214136,4.2
4.63559,-0.0081687,4.2
4.88708,0.00772225,4.2
5.13835,0.0268914,4.2
5.38913,0.0515942,4.2
5.63912,0.0832703,4.2
5.888,0.122763,4.2
6.15944,0.174624,2.12899
6.41015,0.242336,2
6.65277,0.347839,2
6.86151,0.485584,2.36429
7.03963,0.681717,2.58937
7.15932,0.923215,3.90966
7.2245,1.17423,2.70632
7.21629,1.4392,2.45
7.10396,1.68532,2.45
6.91405,1.87524,2.45
6.68377,2.01471,2.45
6.43923,2.12775,2.45
6.18454,2.21544,2.45
5.92048,2.2812,2.78207
5.65827,2.32857,3.87606
5.3799,2.36519,4.2
5.10169,2.38474,4.2
4.84233,2.38542,4.2
4.57352,2.3683,4.2
4.29924,2.33359,4.2
4.02239,2.28245,4.2
3.74447,2.21864,4.2
3.46578,2.14719,4.2
3.18625,2.07176,4.2
2.90667,1.99168,4.2
2.66743,1.91907,4.2
2.39838,1.83568,2.93719
2.13818,1.77212,2.45629
1.87969,1.77579,3.64792
1.63991,1.85102,4.14243
1.40124,1.99178,4.2
1.2044,2.15919,4.2
1.01571,2.35065,4.2
0.818616,2.54391,4.2
0.600099,2.72083,4.2
0.367118,2.88487,4.2
0.136317,3.0563,4.2
-0.0806762,3.24769,4.2
-0.287843,3.45168,4.2
-0.497319,3.65465,4.2
-0.680538,3.82556,4.2
-0.86408,3.99666,4.2
-1.04686,4.16897,4.2
-1.23024,4.34093,4.2
-1.41621,4.51032,4.2
-1.60508,4.67665,4.2
-1.7955,4.84132,4.2
-2.0125,5.02051,2.63061
-2.23744,5.1641,1.88761
-2.49841,5.21365,1.75
-2.72801,5.10753,1.75
-2.90421,4.91392,1.75
-3.00616,4.67333,1.75
-3.02338,4.41262,1.75
-2.95879,4.15895,1.75
-2.84597,3.92255,1.75
-2.68016,3.72008,1.75
-2.47087,3.5625,1.75
-2.24071,3.43632,1.75
-2.02475,3.28828,1.75
-1.86493,3.08175,1.75
-1.78186,2.83398,1.75
-1.78274,2.57265,1.75
-1.8674,2.3254,1.75
-2.02688,2.11837,1.75
-2.24434,1.97344,1.75
-2.4968,1.9059,1.75
-2.7589,1.91145,1.75
-3.02056,1.93224,1.75
-3.278,1.98175,1.75
-3.52458,2.07132,1.75
-3.76233,2.1825,1.75
-3.99283,2.30788,1.75
-4.19688,2.47189,1.75
-4.34382,2.69,1.97373
-4.45847,2.93538,3.08601
-4.55861,3.18849,3.96729
-4.6496,3.44824,4.2
-4.73084,3.71156,4.2
-4.80094,3.95919,4.2
-4.87048,4.21795,4.2
-4.93824,4.48201,3.30229
-5.00315,4.74458,2
-5.06228,4.99218,2
-5.11692,5.2531,1.79891
-5.18762,5.50205,2.04133
-5.30971,5.72985,2.45
-5.48517,5.91391,2.45
-5.7211,6.04772,2.45
-5.97259,6.10165,2.45
-6.23309,6.07565,2.45
-6.47481,5.96833,2.45
-6.67096,5.78858,2.45
-6.80262,5.54888,3.71018
-6.86446,5.29451,4.14724
-6.88443,5.02908,4.2
-6.88405,4.77735,4.2
-6.87946,4.51343,4.2
-6.87604,4.24081,4.2
-6.87144,3.96204,4.2
-6.85973,3.67909,4.2
-6.83892,3.39354,4.2
-6.81126,3.10633,4.2
-6.77831,2.8181,4.2
-6.73744,2.52975,4.2
-6.69468,2.28316,4.2
-6.64568,2.03729,4.2
-6.59074,1.79234,4.2
-6.52837,1.54893,4.2
-6.45614,1.30809,4.2
-6.37173,1.0711,4.2
-6.27213,0.840004,4.2
-6.15378,0.617872,4.2
-6.01257,0.409539,4.2
-5.84427,0.222462,4.2
-5.64905,0.0636736,4.2
-5.4319,-0.063637,4.2
-5.20029,-0.162476,4.2
-4.96035,-0.239152,4.2
-4.71581,-0.299756,4.2
-4.46825,-0.346575,4.2
-4.2185,-0.379797,4.2
-3.96723,-0.398163,4.2
-3.71529,-0.400602,4.2
-3.46366,-0.387636,4.2
-3.21271,-0.364815,4.2
-2.96192,-0.340148,4.2
-2.71093,-0.317715,4.2
-2.45983,-0.296437,4.2
-2.20883,-0.274005,4.2
-1.95789,-0.250985,4.2
-1.70679,-0.229669,4.2
-1.45545,-0.211529,4.2
-1.20393,-0.195907,4.2
-0.952327,-0.181862,4.2
-0.700672,-0.168684,4.2
-0.448997,-0.155894,4.2
-0.197314,-0.143264,4.2
0.054372,-0.130695,4.2
0.101471,-0.126158,4.2
