x_m,y_m,w_tr_right_m,w_tr_left_m
-4.91,6.03,0.7,0.7
-4.91,6.08,0.7,0.7
-4.91,6.13,0.7,0.7
-4.91,6.18,0.7,0.7
-4.96,6.23,0.65,0.65
-5.01,6.23,0.65,0.65
-5.06,6.28,0.6,0.6
-5.11,6.28,0.6,0.6
-5.16,6.28,0.6,0.6
-5.21,6.33,0.55,0.55
-5.26,6.33,0.55,0.55
-5.31,6.33,0.55,0.55
-5.36,6.33,0.55,0.55
-5.41,6.33,0.55,0.55
-5.46,6.33,0.55,0.55
-5.51,6.33,0.55,0.55
-5.56,6.33,0.55,0.55
-5.61,6.33,0.55,0.55
-5.66,6.33,0.55,0.55
-5.71,6.33,0.55,0.55
-5.76,6.33,0.55,0.55
-5.81,6.33,0.55,0.55
-5.86,6.33,0.55,0.55
-5.91,6.33,0.55,0.55
-5.96,6.33,0.55,0.55
-6.01,6.33,0.55,0.55
-6.06,6.33,0.55,0.55
-6.11,6.33,0.55,0.55
-6.16,6.33,0.55,0.55
-6.21,6.28,0.6,0.6
-6.26,6.28,0.6,0.6
-6.31,6.28,0.6,0.6
-6.36,6.23,0.65,0.65
-6.41,6.23,0.65,0.65
-6.46,6.23,0.65,0.65
-6.51,6.18,0.7,0.7
-6.56,6.13,0.7,0.7
-6.56,6.08,0.7,0.7
-6.56,6.03,0.7,0.7
-6.56,5.98,0.7,0.7
-6.56,5.93,0.7,0.7
-6.56,5.88,0.7,0.7
-6.56,5.83,0.7,0.7
-6.56,5.78,0.7,0.7
-6.56,5.73,0.7,0.7
-6.56,5.68,0.7,0.7
-6.56,5.63,0.7,0.7
-6.56,5.58,0.7,0.7
-6.56,5.53,0.7,0.7
-6.56,5.48,0.7,0.7
-6.56,5.43,0.7,0.7
-6.56,5.38,0.7,0.7
-6.56,5.33,0.7,0.7
-6.56,5.28,0.7,0.7
-6.56,5.23,0.7,0.7
-6.56,5.18,0.7,0.7
-6.56,5.13,0.7,0.7
-6.56,5.08,0.7,0.7
-6.56,5.03,0.7,0.7
-6.56,4.98,0.7,0.7
-6.56,4.93,0.7,0.7
-6.56,4.88,0.7,0.7
