x_m,y_m,w_tr_right_m,w_tr_left_m
-1.61,0.13,0.75,0.75
-1.56,0.13,0.75,0.75
-1.51,0.13,0.75,0.75
-1.46,0.13,0.75,0.75
-1.41,0.13,0.75,0.75
-1.36,0.13,0.75,0.75
-1.31,0.13,0.75,0.75
-1.26,0.13,0.75,0.75
-1.21,0.13,0.75,0.75
-1.16,0.13,0.75,0.75
-1.11,0.13,0.75,0.75
-1.06,0.13,0.75,0.75
-1.01,0.13,0.75,0.75
-0.96,0.13,0.75,0.75
-0.91,0.13,0.75,0.75
-0.86,0.13,0.75,0.75
-0.81,0.13,0.75,0.75
-0.76,0.13,0.75,0.75
-0.71,0.13,0.75,0.75
-0.66,0.13,0.75,0.75
-0.61,0.13,0.75,0.75
-0.56,0.13,0.75,0.75
-0.51,0.13,0.75,0.75
-0.46,0.13,0.75,0.75
-0.41,0.13,0.75,0.75
-0.36,0.13,0.75,0.75
-0.31,0.13,0.75,0.75
-0.26,0.13,0.75,0.75
-0.21,0.13,0.75,0.75
-0.16,0.13,0.75,0.75
-0.11,0.13,0.75,0.75
-0.06,0.13,0.75,0.75
-0.01,0.13,0.75,0.75
0.04,0.13,0.75,0.75
0.09,0.13,0.75,0.75
0.14,0.13,0.75,0.75
0.19,0.13,0.75,0.75
0.24,0.13,0.75,0.75
0.29,0.13,0.75,0.75
0.34,0.13,0.75,0.75
0.39,0.13,0.75,0.75
0.44,0.13,0.75,0.75
0.49,0.13,0.75,0.75
0.54,0.13,0.75,0.75
0.59,0.13,0.75,0.75
0.64,0.13,0.75,0.75
0.69,0.13,0.75,0.75
0.74,0.13,0.75,0.75
0.79,0.13,0.75,0.75
0.84,0.13,0.75,0.75
0.89,0.13,0.75,0.75
0.94,0.13,0.75,0.75
0.99,0.13,0.75,0.75
1.04,0.13,0.75,0.75
1.09,0.13,0.75,0.75
1.14,0.13,0.75,0.75
1.19,0.13,0.75,0.75
1.24,0.13,0.75,0.75
1.29,0.13,0.75,0.75
1.34,0.13,0.75,0.75
1.39,0.13,0.75,0.75
1.44,0.13,0.75,0.75
1.49,0.13,0.75,0.75
1.54,0.13,0.75,0.75
1.59,0.13,0.75,0.75
1.64,0.13,0.75,0.75
1.69,0.13,0.75,0.75
1.74,0.13,0.75,0.75
1.79,0.13,0.75,0.75
1.84,0.13,0.75,0.75
1.89,0.13,0.75,0.75
1.94,0.13,0.75,0.75
1.99,0.13,0.75,0.75
2.04,0.13,0.75,0.75
2.09,0.13,0.75,0.75
2.14,0.13,0.75,0.75
2.19,0.13,0.75,0.75
2.24,0.13,0.75,0.75
2.29,0.13,0.75,0.75
2.34,0.13,0.75,0.75
2.39,0.13,0.75,0.75
2.44,0.13,0.75,0.75
2.49,0.13,0.75,0.75
2.54,0.13,0.75,0.75
2.59,0.13,0.75,0.75
2.64,0.13,0.75,0.75
2.69,0.13,0.75,0.75
2.74,0.13,0.75,0.75
2.79,0.13,0.75,0.75
2.84,0.13,0.75,0.75
2.89,0.13,0.75,0.75
2.94,0.13,0.75,0.75
2.99,0.13,0.75,0.75
3.04,0.13,0.75,0.75
3.09,0.13,0.75,0.75
3.14,0.13,0.75,0.75
3.19,0.13,0.75,0.75
3.24,0.13,0.75,0.75
3.29,0.13,0.75,0.75
3.34,0.13,0.75,0.75
3.39,0.13,0.75,0.75
3.44,0.13,0.75,0.75
3.49,0.13,0.75,0.75
3.54,0.13,0.75,0.75
3.59,0.13,0.75,0.75
3.64,0.13,0.75,0.75
3.69,0.13,0.75,0.75
3.74,0.13,0.75,0.75
3.79,0.13,0.75,0.75
3.84,0.13,0.75,0.75
3.89,0.13,0.75,0.75
3.94,0.13,0.75,0.75
3.99,0.13,0.75,0.75
4.04,0.13,0.75,0.75
4.09,0.13,0.75,0.75
4.14,0.13,0.75,0.75
4.19,0.13,0.75,0.75
4.24,0.13,0.75,0.75
4.29,0.13,0.75,0.75
4.34,0.13,0.75,0.75
4.39,0.13,0.75,0.75
4.44,0.13,0.75,0.75
4.49,0.13,0.75,0.75
4.54,0.13,0.75,0.75
4.59,0.13,0.75,0.75
4.64,0.13,0.75,0.75
4.69,0.13,0.75,0.75
4.74,0.13,0.75,0.75
4.79,0.13,0.75,0.75
4.84,0.13,0.75,0.75
4.89,0.18,0.75,0.75
4.94,0.18,0.75,0.75
4.99,0.18,0.75,0.75
5.04,0.18,0.75,0.75
5.09,0.18,0.75,0.75
5.14,0.18,0.75,0.75
5.19,0.18,0.75,0.75
5.24,0.18,0.75,0.75
5.29,0.18,0.75,0.75
5.34,0.18,0.75,0.75
5.39,0.18,0.75,0.75
5.44,0.18,0.75,0.75
5.49,0.23,0.7,0.7
5.54,0.23,0.7,0.7
5.59,0.23,0.7,0.7
5.64,0.23,0.7,0.7
5.69,0.23,0.7,0.7
5.74,0.23,0.7,0.7
5.79,0.23,0.7,0.7
5.84,0.28,0.65,0.65
5.89,0.28,0.65,0.65
5.94,0.28,0.65,0.65
5.99,0.28,0.65,0.65
6.04,0.28,0.65,0.65
6.09,0.28,0.65,0.65
6.14,0.33,0.6,0.6
6.19,0.33,0.6,0.6
6.24,0.33,0.6,0.6
6.29,0.33,0.6,0.6
6.34,0.33,0.6,0.6
6.39,0.33,0.6,0.6
6.44,0.33,0.6,0.6
6.49,0.38,0.55,0.55
6.54,0.38,0.5523,0.5523
6.59,0.38,0.559,0.559
